Year;Party;Theme;Short Explanation;Date
ANM:;Chronologisch Absteigend;NEU => ALT;;
;;;;
2020;SoNaFe;;~enfällt COV19~ (hat im kleinsten Rahmen mit einer Slushmaschine stattgefunden) ;02.07.2020
2020;WiWi-Party;Justus TUM läd ein…;~enfällt COV19~ (WiWi Cliché);18.06.2020
2020;Viva La WiMa;Harry Potter;~enfällt COV19~;28.05.2020
2020;BECI-Fest;BECIs Golden 20ies;~enfällt COV19~ (1920'er Thema);07.05.2020
2020;Chemiker Fasching;Beach Party;;23.01.2020
2019;Physikumsparty;Disco Articularis;80er;05.12.2019
2019;PaDeWe;Donaukind;Neon Trash Party - Anlehnung an Deichkind;28.11.2019
2019;SoNaFe;Wasted Candyland;MixedMotto : Candyland, Borderlands;27.06.2019
2019;Viva La WiMa;Viva la Kranplatz - Studenten müssen verdichtet sein;Kranführer Ronny (Internetvideo);23.05.2019
2019;BECI-Fest;Fiesta BeCIcana;Mexiko;09.05.2019
2019;Chemiker Fasching;…mehr als nur ein Märchen;Märchen Motto;24.01.2019
2018;Physikumsparty;White Night - Ab jetzt nur noch Kittel; ;06.12.2018
2018;PaDeWe;3DB Heroes;Superhelden;29.11.2018
2018;SoNaFe;noch 170 Tage bis Weihnachten!;Weihnachts Motto;05.07.2018
2018;Viva La WiMa;Project e^x;Studenten-College-Party;17.05.2018
2018;BECI-Fest;BECI-Feast : Zombies vs Survivors;Zombie/Survivor Motto;03.05.2018
2018;Chemiker Fasching;Back in Time;Retro-Moto;25.01.2018
2017;PaDeWe;Die PADEWE naht;Game of Thrones;30.11.2017
2017;SoNaFe;Under Construction;Baustellenthema;29.06.2017
2017;Viva La WiMa;Hart am Limes;Asteri&Obelix, Römer;18.05.2017
2017;BECI-Fest;Party des Ostens (PaDeOs);DDR, Ostalgie - Anspielung auf PaDeWe/KaDeWe;20.04.2017
2017;Chemiker Fasching;Dance-Around-The-World;Reisen/Länder Motto;26.01.2017
2016;Physikumsparty; Staat.Sex.Amen.#1 ; ;01.12.2016
2016;PaDeWe;Verschwörung;Illuminati;24.11.2016
2016;SoNaFe;Are you brave enough?;Horror-Thema;30.06.2016
2016;Viva La WiMa;Crystal Math;Breaking-Bad Motto;19.05.2016
2016;BECI-Fest;Born in the 90's;90er Party, 25 Jahre BECI-Fest;12.05.2016
2016;Chemiker Fasching;Zeichentri(n|c)k & Nostalgie;Zeichentrick;21.01.2016
2015;PaDeWe;Bad Taste;;
2015;SoNaFe;Biohazard;Don't get infected / Dangerzone;25.06.2015
2015;Viva La WiMa;Jetzt brennt's wirklich;die nach dem Feueralarm;07.05.2015
2015;Chemiker Fasching;Gender Change;vertauschte Rollenbilder;
2014;PaDeWe;Pyjamarama;Pyjama Party;
2014;SoNaFe;Reif für die Insel;Urlaub in der Südsee;03.07.2014
2014;Viva La WiMa;Auf großer Fahrt;;22.05.2014
2014;BECI-Fest;It's [BECI];[MARVEL] Design, Superhelden;08.05.2014
2014;Chemiker Fasching;Grün kommen, Blau gehen;Farbthema;
2013;SoNaFe;Fly me to the Moon/Ausserirdisch gut;'Retro-SciFi': Flash Gordon, Raumschiff Orion, Portal2;27.06.2013
2013;Viva La WiMa;WIMA LA REVOLUCIÓN;Cuba Motto;06.06.2013
2013;BECI-Fest;BEC-I : Der letzte räumt das Forum auf;Anlehnung an den Film Wall-E;
2012;SoNaFe;Kirmes;;28.06.2012
2012;Viva la WiMa;Chicago;;10.05.2012
2012;BECI-Fest;;?irgendwas mit Grinsekatze? (Alice im Wunderland);
2011;SoNaFe;Republik SoNaFe;--(Anlehnung an BurningMan)-- 'Wo junge Leute sind, ist Republik';01.07.2011
2011;Viva la WiMa;1001 Nacht;Bauchtanzshow;26.05.2011
2011;TiGa;TiGa21 – Wir feiern bis der Wasserwerfer kommt;Schlosspark Stuttgart 21;14.01.2011
2010;SoNaFe;Wilder Westen;Cowboy & Indianer, Anspielung: Uni-West;24.06.2010
2010;Viva la WiMa;ab in den Urlaub;Palmen,Sangria;20.05.2010
2010;BECI-Fest;Dein Ticket in den Frühling;Design-Anlehnung an WM 2010 (Die Party mit der Brandmeldeanlage);06.05.2010
2009;SoNaFe;Hawaii;;25.06.2009
2009;Viva la WiMa;frisch herausgeputzt;;28.05.2009
2004;Viva la WiMa;noch fetter als wie letztes Mal;;04.11.2004
2003;Viva la WiMa;geil auf Mathematik?;;13.11.2003
2002;Viva la WiMa;;keine Milch!;30.11.2002
;;;;
1993;BECI;Erstsemester-Fete im beteigeuze;Der Chemiker Olli legt auf;21.10.1993
;;;;
